geocode,municipio,uf,disease,period,rural,urban,total
210260, Cândido Mendes,21,Dengue,2004-2008,5,0,5
210270, Cantanhede,21,Dengue,2004-2008,19,237,256
210275, Capinzal do Norte,21,Dengue,2004-2008,33,18,51
210280, Carolina,21,Dengue,2004-2008,43,161,204
210300, Caxias,21,Dengue,2004-2008,0,3,3
210310, Cedral,21,Dengue,2004-2008,28,17,45
210315, Centro do Guilherme,21,Dengue,2004-2008,1,7,8
210317, Centro Novo do Maranhão,21,Dengue,2004-2008,8,4,12
210320, Chapadinha,21,Dengue,2004-2008,5,6,11
210325, Cidelândia,21,Dengue,2004-2008,51,44,95
210330, Codó,21,Dengue,2004-2008,28,153,181
210350, Colinas,21,Dengue,2004-2008,25,106,131
210355, Conceição do Lago-Açu,21,Dengue,2004-2008,3,9,12
210360, Coroatá,21,Dengue,2004-2008,27,93,120
210370, Cururupu,21,Dengue,2004-2008,26,11,37
210375, Davinópolis,21,Dengue,2004-2008,0,15,15
210380, Dom Pedro,21,Dengue,2004-2008,8,13,21
210400, Esperantinópolis,21,Dengue,2004-2008,9,48,57
210405, Estreito,21,Dengue,2004-2008,12,243,255
210407, Feira Nova do Maranhão,21,Dengue,2004-2008,15,27,42
210408, Fernando Falcão,21,Dengue,2004-2008,5,0,5
210409, Formosa da Serra Negra,21,Dengue,2004-2008,28,72,100
210410, Fortaleza dos Nogueiras,21,Dengue,2004-2008,0,26,26
210420, Fortuna,21,Dengue,2004-2008,16,42,58
210430, Godofredo Viana,21,Dengue,2004-2008,1,0,1
210440, Gonçalves Dias,21,Dengue,2004-2008,19,35,54
210450, Governador Archer,21,Dengue,2004-2008,7,12,19
210455, Governador Edison Lobão,21,Dengue,2004-2008,5,7,12
210460, Governador Eugênio Barros,21,Dengue,2004-2008,22,35,57
210467, Governador Nunes Freire,21,Dengue,2004-2008,19,74,93
210470, Graça Aranha,21,Dengue,2004-2008,61,72,133
210480, Grajaú,21,Dengue,2004-2008,96,302,398
210490, Guimarães,21,Dengue,2004-2008,22,134,156
210500, Humberto de Campos,21,Dengue,2004-2008,5,3,8
210510, Icatu,21,Dengue,2004-2008,21,25,46
210515, Igarapé do Meio,21,Dengue,2004-2008,16,6,22
210520, Igarapé Grande,21,Dengue,2004-2008,0,1,1
210530, Imperatriz,21,Dengue,2004-2008,4,1293,1297
210535, Itaipava do Grajaú,21,Dengue,2004-2008,69,5,74
210540, Itapecuru Mirim,21,Dengue,2004-2008,127,540,667
